#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Size (Mb),GC%,Assembly,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Plasmodium knowlesi strain H","H",SAMEA2272753 ,PRJEA28803,"Protists","Apicomplexans",23.4622,39.1684,GCA_000006355.1 ,chromosome 1:NC_011902.1/AM910983.1; chromosome 2:NC_011903.1/AM910984.1; chromosome 3:NC_011904.1/AM910985.1; chromosome 4:NC_011905.1/AM910986.1; chromosome 5:NC_011906.1/AM910987.1; chromosome 6:NC_011907.1/AM910988.2; chromosome 7:NC_011908.1/AM910989.1; chromosome 8:NC_011909.1/AM910990.1; chromosome 9:NC_011910.1/AM910991.1; chromosome 10:NC_011911.1/AM910992.1; chromosome 11:NC_011912.1/AM910993.1; chromosome 12:NC_011913.1/AM910994.1; chromosome 13:NC_011914.1/AM910995.1; chromosome 14:NC_011915.1/AM910996.2,-,14,5161,5102,2008/07/04,2015/01/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.1_ASM635v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/355/GCA_000006355.1_ASM635v1
"Brugia malayi","",SAMN02953652 ,PRJNA10729,"Animals","Roundworms",93.6591,31.499,GCA_000002995.2 ,mitochondrion MT:NC_004298.1/AF538716.1,AAQA01,24286,11441,11472,2002/09/25,2016/07/24,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.3_ASM299v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/995/GCA_000002995.2_ASM299v2
"Aedes aegypti","Liverpool",SAMN02953616 ,PRJNA12434,"Animals","Insects",1383.97,38.7998,GCA_000004015.3 ,mitochondrion MT:NC_010241.1/EU352212.1,AAGE02,4757,17236,17400,2005/02/11,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/015/GCF_000004015.4_AaegL3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/015/GCA_000004015.3_AaegL3
"Anopheles gambiae str. PEST","PEST",SAMN02952903 ,PRJNA1438,"Animals","Insects",265.027,44.5151,GCA_000005575.1 ,chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; mitochondrion MT:NC_002084.1/L20934.1,AAAB01,8145,13184,14099,2002/03/22,2011/09/28,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3
"Drosophila melanogaster","",SAMN02803731 ,PRJNA13669,"Animals","Insects",143.726,42.0803,GCA_000001215.4 ,chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2,-,1870,17682,30482,2002/04/30,2016/12/13,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT
"Aedes albopictus","",SAMN05908721 ,PRJNA357111,"Animals","Insects",2247.31,40.3999,GCA_001876365.2 ,mitochondrion MT:NC_006817.1/AY072044.1,MNAF02,2435,38274,42912,2016/11/10,2017/01/24,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/876/365/GCF_001876365.2_canu_80X_arrow2.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/365/GCA_001876365.2_canu_80X_arrow2.2
"Apis mellifera","DH4",SAMN00002455 ,PRJNA10625,"Animals","Insects",250.287,34.1338,GCA_000002195.1 ,linkage group LG1:NC_007070.3/CM000054.5; linkage group LG2:NC_007071.3/CM000055.5; linkage group LG3:NC_007072.3/CM000059.5; linkage group LG4:NC_007073.3/CM000060.5; linkage group LG5:NC_007074.3/CM000058.5; linkage group LG6:NC_007075.3/CM000056.5; linkage group LG7:NC_007076.3/CM000063.5; linkage group LG8:NC_007077.3/CM000061.5; linkage group LG9:NC_007078.3/CM000062.5; linkage group LG10:NC_007079.3/CM000068.5; linkage group LG11:NC_007080.3/CM000057.5; linkage group LG12:NC_007081.3/CM000067.5; linkage group LG13:NC_007082.3/CM000064.5; linkage group LG14:NC_007083.3/CM000065.5; linkage group LG15:NC_007084.3/CM000066.5; linkage group LG16:NC_007085.3/CM000069.5; mitochondrion MT:NC_001566.1/L06178.1,AADG06,5645,13885,22456,2003/12/19,2014/08/04,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/195/GCF_000002195.4_Amel_4.5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/195/GCA_000002195.1_Amel_4.5
"Homo sapiens","",-,PRJNA31257,"Animals","Mammals",3241.95,41.4611,GCA_000001405.25 ,chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2,-,837,59951,114077,2002/08/02,2016/06/06,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.36_GRCh38.p10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.25_GRCh38.p10
"Mus musculus","C57BL/6J",-,PRJNA11777,"Animals","Mammals",2807.72,41.9473,GCA_000001635.7 ,chromosome 1:NC_000067.6/CM000994.2; chromosome 2:NC_000068.7/CM000995.2; chromosome 3:NC_000069.6/CM000996.2; chromosome 4:NC_000070.6/CM000997.2; chromosome 5:NC_000071.6/CM000998.2; chromosome 6:NC_000072.6/CM000999.2; chromosome 7:NC_000073.6/CM001000.2; chromosome 8:NC_000074.6/CM001001.2; chromosome 9:NC_000075.6/CM001002.2; chromosome 10:NC_000076.6/CM001003.2; chromosome 11:NC_000077.6/CM001004.2; chromosome 12:NC_000078.6/CM001005.2; chromosome 13:NC_000079.6/CM001006.2; chromosome 14:NC_000080.6/CM001007.2; chromosome 15:NC_000081.6/CM001008.2; chromosome 16:NC_000082.6/CM001009.2; chromosome 17:NC_000083.6/CM001010.2; chromosome 18:NC_000084.6/CM001011.2; chromosome 19:NC_000085.6/CM001012.2; chromosome X:NC_000086.7/CM001013.2; chromosome Y:NC_000087.7/CM001014.2; mitochondrion MT:NC_005089.1/AY172335.1,-,304,48509,78239,2004/09/02,2016/06/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.25_GRCm38.p5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.7_GRCm38.p5
"Danio rerio","Tuebingen",SAMN03020626 ,PRJNA11776,"Animals","Fishes",1371.72,36.6591,GCA_000002035.3 ,chromosome 1:NC_007112.6/CM002885.1; chromosome 2:NC_007113.6/CM002886.1; chromosome 3:NC_007114.6/CM002887.1; chromosome 4:NC_007115.6/CM002888.1; chromosome 5:NC_007116.6/CM002889.1; chromosome 6:NC_007117.6/CM002890.1; chromosome 7:NC_007118.6/CM002891.1; chromosome 8:NC_007119.6/CM002892.1; chromosome 9:NC_007120.6/CM002893.1; chromosome 10:NC_007121.6/CM002894.1; chromosome 11:NC_007122.6/CM002895.1; chromosome 12:NC_007123.6/CM002896.1; chromosome 13:NC_007124.6/CM002897.1; chromosome 14:NC_007125.6/CM002898.1; chromosome 15:NC_007126.6/CM002899.1; chromosome 16:NC_007127.6/CM002900.1; chromosome 17:NC_007128.6/CM002901.1; chromosome 18:NC_007129.6/CM002902.1; chromosome 19:NC_007130.6/CM002903.1; chromosome 20:NC_007131.6/CM002904.1; chromosome 21:NC_007132.6/CM002905.1; chromosome 22:NC_007133.6/CM002906.1; chromosome 23:NC_007134.6/CM002907.1; chromosome 24:NC_007135.6/CM002908.1; chromosome 25:NC_007136.6/CM002909.1; mitochondrion MT:NC_002333.2/AC024175.3,-,3399,41849,46547,2005/07/05,2016/06/24,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.5_GRCz10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.3_GRCz10
"Ciona intestinalis","",-,PRJDA65419,"Animals","Other Animals",115.227,36.0218,GCA_000224145.2 ,chromosome 1:NC_020166.2/HT000001.2; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; chromosome MT:HT000188.1; mitochondrion MT:NC_004447.2/AJ517314.2,EAAA01,1280,15172,18961,2011/04/27,2011/04/27,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/145/GCF_000224145.2_KH,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/145/GCA_000224145.2_KH
"Aspergillus terreus NIH2624","NIH2624",SAMN02953635 ,PRJNA15631,"Fungi","Ascomycetes",29.364,52.8,GCA_000149615.1 ,-,AAJN01,27,10551,10401,2005/09/09,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/615/GCF_000149615.1_ASM14961v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/615/GCA_000149615.1_ASM14961v1
"Dictyostelium discoideum AX4","AX4",SAMN02953606 ,PRJNA201,"Protists","Other Protists",34.205,22.4631,GCA_000004695.1 ,chromosome 1:NC_007087.3/CM000150.2; chromosome 2:NC_007088.5/CM000151.3; chromosome 3:NC_007089.4/CM000152.2; chromosome 4:NC_007090.3/CM000153.2; chromosome 5:NC_007091.3/CM000154.2; chromosome 6:NC_007092.3/CM000155.2; plasmid Ddp5:NC_001889.1/AF000580.1; mitochondrion MT:NC_000895.1/AB000109.1,AAFI02,41,13961,13315,2005/03/03,2014/08/06,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/695/GCA_000004695.1_dicty_2.7
"Guillardia theta CCMP2712","CCMP2712",SAMN00116900 ,PRJNA53577,"Other","Other",87.1453,52.9,GCA_000315625.1 ,-,AEIE01,669,24923,24822,2012/11/02,2014/08/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/625/GCF_000315625.1_Guith1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/625/GCA_000315625.1_Guith1
"Fusarium graminearum PH-1","PH-1; NRRL 31084",SAMN02953593 ,PRJNA13839,"Fungi","Ascomycetes",36.458,48.3278,GCA_000240135.3 ,chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1,AACM02,31,13701,13313,2003/05/09,2014/08/06,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/135/GCA_000240135.3_ASM24013v3
"Gasterosteus aculeatus","",SAMN02981227 ,PRJNA13579,"Animals","Fishes",446.611,44.6,GCA_000180675.1 ,-,AANH01,16957,-,-,2006/02/01,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/675/GCA_000180675.1_ASM18067v1
"Chlamydomonas reinhardtii","CC-503 cw92 mt+",SAMN02953692 ,PRJNA12260,"Plants","Green Algae",120.405,61.9512,GCA_000002595.2 ,mitochondrion MT:NC_001638.1/U03843.1; chloroplast Pltd:NC_005353.1/BK000554.2,ABCN01,1558,14488,14489,2007/08/03,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/595/GCF_000002595.1_v3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/595/GCA_000002595.2_v3.0
"Drosophila yakuba","Tai18E2",SAMN02952910 ,PRJNA12366,"Animals","Insects",165.71,42.3955,GCA_000005975.1 ,chromosome X:NC_011091.1/CM000162.2; chromosome 2L:NT_167062.1/CM000157.2; chromosome 2R:NT_167063.1/CM000158.2; chromosome 3L:NT_167064.1/CM000159.2; chromosome 3R:NT_167065.1/CM000160.2; chromosome 4:NC_011090.1/CM000161.2; mitochondrion MT:NC_001322.1/X03240.1,AAEU02,8123,16079,23317,2004/07/07,2015/11/06,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/975/GCF_000005975.2_dyak_caf1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/975/GCA_000005975.1_dyak_caf1
"Magnaporthe oryzae 70-15","70-15",SAMN02953596 ,PRJNA13840,"Fungi","Ascomycetes",40.9791,51.5882,GCA_000002495.2 ,chromosome 1:NC_017844.1/CM001231.1; chromosome 2:NC_017850.1/CM001232.1; chromosome 3:NC_017849.1/CM001233.1; chromosome 4:NC_017851.1/CM001234.1; chromosome 5:NC_017852.1/CM001235.1; chromosome 6:NC_017853.1/CM001236.1; chromosome 7:NC_017854.1/CM001237.1,AACU03,53,13184,12989,2003/10/31,2016/03/31,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/495/GCF_000002495.2_MG8,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/495/GCA_000002495.2_MG8
"Saccharomyces paradoxus NRRL Y-17217","NRRL Y-17217",SAMN02953584 ,PRJNA1440,"Fungi","Ascomycetes",11.8726,38.7,GCA_000166955.1 ,-,AABY01,832,-,-,2003/03/28,2014/08/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/955/GCA_000166955.1_ASM16695v1
"Saccharomyces kudriavzevii FM1066","FM1066",SAMN00829192 ,PRJNA42347,"Fungi","Ascomycetes",8.72945,44.4,GCA_000256765.1 ,-,AJHS01,1633,-,-,2012/03/23,2012/04/20,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/256/765/GCA_000256765.1_Saccharomyces_kudriavzevii_strain_FM1066_v1.0
"Thalassiosira pseudonana CCMP1335","CCMP1335",SAMN02744045 ,PRJNA191,"Other","Other",32.4374,46.905,GCA_000149405.2 ,chromosome 1:NC_012064.1/CM000638.1; chromosome 2:NC_012065.1/CM000639.1; chromosome 3:NC_012066.1/CM000640.1; chromosome 4:NC_012067.1/CM000641.1; chromosome 5:NC_012068.1/CM000642.1; chromosome 6:NC_012069.1/CM000643.1; chromosome 7:NC_012070.1/CP001160.1; chromosome 8:NC_012071.1/CM000644.1; chromosome 9:NC_012072.1/CM000645.1; chromosome 10:NC_012073.1/CM000646.1; chromosome 12:NC_012075.1/CM000647.1; chromosome 13:NC_012076.1/CM000648.1; chromosome 14:NC_012077.1/CM000649.1; chromosome 15:NC_012078.1/CM000650.1; chromosome 17:NC_012080.1/CM000651.1; chromosome 18:NC_012081.1/CP001159.1; chromosome 20:NC_012083.1/CM000652.1; chromosome 22:NC_012085.1/CM000653.1; chromosome 23:NC_012086.1/CM000654.1; chromosome 24:NC_012087.1/CM000655.1,AAFD02,64,11771,11673,2004/10/07,2014/05/14,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/405/GCF_000149405.2_ASM14940v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/405/GCA_000149405.2_ASM14940v2
"Glossina morsitans morsitans","",SAMEA3146294 ,PRJEA59499,"Animals","Insects",363.107,34.1,GCA_001077435.1 ,-,CCAG01,24071,-,-,2014/03/12,2015/01/30,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/435/GCA_001077435.1_ASM107743v1
"Saccharomyces bayanus 623-6C","623-6C",SAMN02953590 ,PRJNA1443,"Fungi","Ascomycetes",11.8653,40.2,GCA_000167035.1 ,-,AACG02,586,-,-,2003/05/22,2014/08/06,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/035/GCA_000167035.1_ASM16703v1
"Saccharomyces mikatae IFO 1815","IFO 1815",SAMN02953585 ,PRJNA374,"Fungi","Ascomycetes",11.4703,38,GCA_000166975.1 ,-,AABZ01,1648,-,-,2003/03/28,2014/08/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/975/GCA_000166975.1_ASM16697v1
"Takifugu rubripes","",SAMEA3138310 ,PRJNA1434,"Animals","Fishes",391.485,45.8414,GCA_000180615.2 ,chromosome 1:NC_018890.1/HE602535.1; chromosome 2:NC_018891.1/HE602536.1; chromosome 3:NC_018892.1/HE602537.1; chromosome 4:NC_018893.1/HE602538.1; chromosome 5:NC_018894.1/HE602539.1; chromosome 6:NC_018895.1/HE602540.1; chromosome 7:NC_018896.1/HE602541.1; chromosome 8:NC_018897.1/HE602542.1; chromosome 9:NC_018898.1/HE602543.1; chromosome 10:NC_018899.1/HE602544.1; chromosome 11:NC_018900.1/HE602545.1; chromosome 12:NC_018901.1/HE602546.1; chromosome 13:NC_018902.1/HE602547.1; chromosome 14:NC_018903.1/HE602548.1; chromosome 15:NC_018904.1/HE602549.1; chromosome 16:NC_018905.1/HE602550.1; chromosome 17:NC_018906.1/HE602551.1; chromosome 18:NC_018907.1/HE602552.1; chromosome 19:NC_018908.1/HE602553.1; chromosome 20:NC_018909.1/HE602554.1; chromosome 21:NC_018910.1/HE602555.1; chromosome 22:NC_018911.1/HE602556.1; mitochondrion MT:NC_004299.1/AJ421455.1,CAAB02,7091,23164,31052,2002/08/22,2011/07/12,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/615/GCF_000180615.1_FUGU5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/615/GCA_000180615.2_FUGU5
"Ciona savignyi","",SAMN02952906 ,PRJNA1435,"Animals","Other Animals",587.353,37.5,GCA_000149265.1 ,-,AACT01,34009,-,-,2003/10/24,2014/08/05,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/265/GCA_000149265.1_ASM14926v1
"Plasmodium yoelii yoelii","",SAMN02952904 ,PRJNA1436,"Protists","Apicomplexans",23.1254,24.7,GCA_000003085.2 ,-,AABL01,5687,7396,7353,2002/10/03,2014/08/05,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/085/GCF_000003085.2_ASM308v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/085/GCA_000003085.2_ASM308v2
"Lachancea kluyveri NRRL Y-12651","NRRL Y-12651",SAMN02953588 ,PRJNA1445,"Fungi","Ascomycetes",11.5091,41.6535,GCA_000149225.1 ,chromosome A:CM000687.1; chromosome B:CM000688.1; chromosome C:CM000689.1; chromosome D:CM000690.1; chromosome E:CM000691.1; chromosome F:CM000692.1; chromosome G:CM000693.1; chromosome H:CM000694.1,AACE03,32,-,-,2003/05/22,2014/08/06,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/225/GCA_000149225.1_ASM14922v1
"Ustilago maydis 521","521",SAMN02900459 ,PRJNA1446,"Fungi","Basidiomycetes",19.6644,54.0121,GCA_000328475.2 ,chromosome 1:NC_026478.1/CM003140.1; chromosome 2:NC_026479.1/CM003141.1; chromosome 3:NC_026480.1/CM003142.1; chromosome 4:NC_026481.1/CM003143.1; chromosome 5:NC_026482.1/CM003144.1; chromosome 6:NC_026483.1/CM003145.1; chromosome 7:NC_026484.1/CM003146.1; chromosome 8:NC_026485.1/CM003147.1; chromosome 9:NC_026486.1/CM003148.1; chromosome 10:NC_026487.1/CM003149.1; chromosome 11:NC_026488.1/CM003150.1; chromosome 12:NC_026489.1/CM003151.1; chromosome 13:NC_026490.1/CM003152.1; chromosome 14:NC_026491.1/CM003153.1; chromosome 15:NC_026492.1/CM003154.1; chromosome 16:NC_026493.1/CM003155.1; chromosome 17:NC_026494.1/CM003156.1; chromosome 18:NC_026495.1/CM003157.1; chromosome 19:NC_026496.1/CM003158.1; chromosome 20:NC_026497.1/CM003159.1; chromosome 21:NC_026498.1/CM003160.1; chromosome 22:NC_026499.1/CM003161.1; chromosome 23:NC_026500.1/CM003162.1,AACP02,27,6910,6783,2003/07/29,2015/02/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/475/GCA_000328475.2_Umaydis521_2.0
"Coprinopsis cinerea okayama7#130","okayama7#130",SAMN02953595 ,PRJNA1447,"Fungi","Basidiomycetes",36.1926,51.6,GCA_000182895.1 ,-,AACS02,68,13651,13356,2003/07/30,2014/08/06,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/895/GCF_000182895.1_CC3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/895/GCA_000182895.1_CC3
"Rattus norvegicus","mixed",SAMN02808228 ,PRJNA10629,"Animals","Mammals",2870.18,42.3282,GCA_000001895.4 ,chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1,AABR07,1395,39365,56113,2002/11/27,2014/07/01,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/895/GCF_000001895.5_Rnor_6.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0
"Cryptococcus neoformans var. neoformans JEC21","JEC21",SAMN03081418 ,PRJNA13856,"Fungi","Basidiomycetes",19.0519,48.5368,GCA_000091045.1 ,chromosome 1:NC_006670.1/AE017341.1; chromosome 2:NC_006684.1/AE017342.1; chromosome 3:NC_006685.1/AE017343.1; chromosome 4:NC_006686.1/AE017344.1; chromosome 5:NC_006687.1/AE017345.1; chromosome 6:NC_006691.1/AE017346.1; chromosome 7:NC_006692.1/AE017347.1; chromosome 8:NC_006693.1/AE017348.1; chromosome 9:NC_006694.1/AE017349.1; chromosome 10:NC_006679.1/AE017350.1; chromosome 11:NC_006680.1/AE017351.1; chromosome 12:NC_006681.1/AE017352.1; chromosome 13:NC_006682.1/AE017353.1; chromosome 14:NC_006683.1/AE017356.1,-,14,6617,6475,2005/01/07,2015/11/20,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/045/GCF_000091045.1_ASM9104v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/045/GCA_000091045.1_ASM9104v1
"Naumovozyma castellii CBS 4309","type strain:CBS 4309",SAMEA2271985 ,PRJEA70625,"Fungi","Ascomycetes",11.2195,36.7559,GCA_000237345.1 ,chromosome 1:NC_016491.1/HE576752.1; chromosome 2:NC_016492.1/HE576753.1; chromosome 3:NC_016493.1/HE576754.1; chromosome 4:NC_016494.1/HE576755.1; chromosome 5:NC_016495.1/HE576756.1; chromosome 6:NC_016496.1/HE576757.1; chromosome 7:NC_016497.1/HE576758.1; chromosome 8:NC_016498.1/HE576759.1; chromosome 9:NC_016499.1/HE576760.1; chromosome 10:NC_016500.1/HE576761.1,-,10,5870,5592,2011/08/01,2015/02/27,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/345/GCF_000237345.1_ASM23734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/345/GCA_000237345.1_ASM23734v1
"Branchiostoma floridae","S238N-H82",SAMN02953694 ,PRJNA20249,"Animals","Other Animals",521.895,41.8,GCA_000003815.1 ,-,ABEP02,398,28627,28623,2008/04/24,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.1_Version_2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.1_Version_2
"Bombyx mori","p50T (= Dazao)",SAMD00036537 ,PRJDA20217,"Animals","Insects",481.819,38.7993,GCA_000151625.1 ,mitochondrion MT:NC_002355.1/AF149768.1,BABH01,43463,15279,19618,2008/04/23,2015/09/18,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/625/GCF_000151625.1_ASM15162v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/625/GCA_000151625.1_ASM15162v1
