#Organism/Name,BioProject,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Level
"Sulfolobus turreted icosahedral virus 2",PRJNA48299,"dsDNA viruses, no RNA stage","Turriviridae",16.622,36.7,"archaea", Unknown:NC_014099.1/GU080336.1,34,34,2010/04/18,2010/04/30,Complete Genome
"Torque teno sus virus 1b",PRJNA283618,"ssDNA viruses","Anelloviridae",2.872,50.5,"vertebrates, human", Unknown:NC_027059.1/AY823990.1,3,3,2005/02/09,2015/05/14,Chromosome
"Freesia mosaic virus",PRJNA48387,"ssRNA viruses","Potyviridae",9.489,42.9,"plants", Unknown:NC_014064.1/FM206346.1,2,2,2010/01/07,2015/02/10,Complete Genome
"Providence virus",PRJNA48417,"ssRNA viruses","Carmotetraviridae",6.155,51.8,"invertebrates", Unknown:NC_014126.1/GU991616.1,5,4,2010/05/04,2010/10/19,Complete Genome
"Chiltepin yellow mosaic virus",PRJNA48419,"ssRNA viruses","Tymoviridae",6.517,48.9,"invertebrates, plants", Unknown:NC_014127.1/FN563123.1,3,3,2010/05/03,2011/02/05,Complete Genome
"Sida golden mottle virus",PRJNA48421,"ssDNA viruses","Geminiviridae",5.184,44.7628,"plants", DNA-A:NC_014130.1/GU997691.1;  DNA-B:NC_014128.1/GU997692.1,7,7,2010/05/02,2015/10/20,Complete Genome
"Slow bee paralysis virus",PRJNA48587,"ssRNA viruses","Iflaviridae",9.505,37.5,"invertebrates", Unknown:NC_014137.1/EU035616.1,1,1,2007/08/08,2010/09/20,Complete Genome
"Abutilon Brazil virus",PRJNA48591,"ssDNA viruses","Geminiviridae",5.271,46.4576,"plants", DNA A:NC_014138.1/FN434438.1;  DNA B:NC_014139.1/FN434439.1,7,7,2010/05/09,2015/03/17,Complete Genome
"Soybean mild mottle virus",PRJNA48593,"ssDNA viruses","Geminiviridae",2.768,44.7,"plants", Unknown:NC_014140.1/GQ472984.1,6,6,2010/05/10,2010/05/13,Complete Genome
"Soybean chlorotic blotch virus",PRJNA48595,"ssDNA viruses","Geminiviridae",5.355,44.4722,"plants", DNA A:NC_014141.1/GQ472985.1;  DNA B:NC_014142.1/GQ472986.1,9,9,2010/05/10,2010/05/13,Complete Genome
"Bettongia penicillata papillomavirus 1",PRJNA48601,"dsDNA viruses, no RNA stage","Papillomaviridae",7.737,44.2,"vertebrates", Unknown:NC_014143.1/GU220391.1,7,7,2010/05/08,2016/07/26,Complete Genome
"Human papillomavirus type 121",PRJNA49377,"dsDNA viruses, no RNA stage","Papillomaviridae",7.342,37.7,"vertebrates", Unknown:NC_014185.1/GQ845443.1,7,7,2010/05/26,2016/07/26,Complete Genome
"Streptomyces phage phiSASD1",PRJNA49613,"dsDNA viruses, no RNA stage","Siphoviridae",37.068,66.3,"bacteria", Unknown:NC_014229.1/GQ379227.1,43,43,2010/06/08,2010/06/09,Complete Genome
"Broome virus",PRJNA49651,"dsRNA viruses","Reoviridae",22.727,42.1395,"vertebrates", L1:NC_014236.1/GQ258977.1;  L2:NC_014237.1/GQ258978.1;  L3:NC_014238.1/GQ258979.1;  M1:NC_014239.1/GQ258980.1;  M2:NC_014240.1/GQ258981.1;  M3:NC_014241.1/GQ258982.1;  S1:NC_014242.1/GQ258983.1;  S2:NC_014243.1/GQ258984.1;  S3:NC_014244.1/GQ258985.1;  S4:NC_014245.1/GQ258986.1,11,11,2010/05/17,2010/06/11,Complete Genome
"Panax virus Y",PRJNA49715,"ssRNA viruses","Potyviridae",9.75,40.2,"plants", Unknown:NC_014252.1/GQ916624.1,2,2,2010/06/15,2015/02/10,Complete Genome
"Enterobacteria phage IME08",PRJNA50177,"dsDNA viruses, no RNA stage","Myoviridae",172.253,39.6,"bacteria", Unknown:NC_014260.1/HM071924.1,255,253,2010/06/15,2011/12/15,Complete Genome
"Hyperthermophilic Archaeal Virus 2",PRJNA50361,"unclassified archaeal viruses","unclassified",17.666,52.1,"archaea", Unknown:NC_014321.1/GU722197.1,15,15,2010/07/04,2010/11/19,Complete Genome
"Hyperthermophilic Archaeal Virus 1",PRJNA50363,"dsDNA viruses, no RNA stage","unclassified",22.743,46.2,"archaea", Unknown:NC_014322.1/GU722196.1,40,40,2010/07/04,2010/11/19,Complete Genome
"Turnip curly top virus",PRJNA50429,"ssDNA viruses","Geminiviridae",2.981,42,"plants", Unknown:NC_014324.1/GU456685.1,6,6,2010/07/06,2010/09/08,Complete Genome
"Bidens mottle virus",PRJNA50559,"ssRNA viruses","Potyviridae",9.741,41.7,"plants", Unknown:NC_014325.1/AF538686.2,2,2,2003/02/05,2015/02/10,Complete Genome
"Pepper yellow mosaic virus",PRJNA50567,"ssRNA viruses","Potyviridae",9.745,42.4,"plants", Unknown:NC_014327.1/AB541985.1,1,1,2010/07/13,2013/08/10,Complete Genome
"Fenneropenaeus chinensis hepandensovirus",PRJNA51177,"ssDNA viruses","Parvoviridae",6.085,39.4,"invertebrates", Unknown:NC_014357.1/GU371276.1,3,3,2010/07/28,2010/08/05,Complete Genome
"Bocavirus gorilla/GBoV1/2009",PRJNA51179,"ssDNA viruses","Parvoviridae",4.944,41.1,"vertebrates", Unknown:NC_014358.1/HM145750.1,4,4,2010/07/21,2010/08/19,Complete Genome
"Spissistilus festinus virus 1",PRJNA51181,"dsRNA viruses","unclassified",7.951,59,"invertebrates", Unknown:NC_014359.1/GU979419.1,2,2,2010/07/17,2016/07/26,Complete Genome
"Circulifer tenellus virus 1",PRJNA51183,"dsRNA viruses","unclassified",8.086,57.2,"invertebrates", Unknown:NC_014360.1/GU979420.1,2,2,2010/07/17,2016/07/26,Complete Genome
"Trichodysplasia spinulosa-associated polyomavirus",PRJNA51185,"dsDNA viruses, no RNA stage","Polyomaviridae",5.232,40.1,"vertebrates", Unknown:NC_014361.1/GU989205.1,4,5,2010/07/29,2010/08/05,Complete Genome
"Bundibugyo ebolavirus",PRJNA51245,"ssRNA viruses","Filoviridae",18.94,42,"vertebrates, human", Unknown:NC_014373.1/FJ217161.1,7,9,2008/11/21,2016/04/20,Complete Genome
"Tai Forest ebolavirus",PRJNA51257,"ssRNA viruses","Filoviridae",18.935,42.3,"vertebrates, human", Unknown:NC_014372.1/FJ217162.1,7,9,2008/11/21,2016/04/20,Complete Genome
"Melon chlorotic mosaic virus-associated alphasatellite",PRJNA51413,"Satellites","unclassified",1.334,42.5,"plants", Unknown:NC_014379.1/HM163578.1,2,2,2010/08/09,2010/12/21,Complete Genome
"Melon chlorotic mosaic virus",PRJNA51415,"ssDNA viruses","Geminiviridae",2.607,41.8,"plants", DNA B:NC_014381.1/HM163577.1,2,2,2010/08/09,2015/10/20,Complete Genome
"Human polyomavirus 7",PRJNA51557,"dsDNA viruses, no RNA stage","Polyomaviridae",4.952,42.9,"vertebrates", Unknown:NC_014407.1/HM011566.1,5,5,2010/05/07,2015/01/23,Complete Genome
"Human polyomavirus 6",PRJNA51559,"dsDNA viruses, no RNA stage","Polyomaviridae",4.926,42.7,"vertebrates", Unknown:NC_014406.1/HM011560.1,5,5,2010/05/07,2015/01/23,Complete Genome
"Passerivirus A1",PRJNA51587,"ssRNA viruses","Picornaviridae",8.035,57.9,"vertebrates", Unknown:NC_014411.1/GU182406.1,1,1,2010/08/15,2010/09/21,Complete Genome
"Oscivirus A1",PRJNA51589,"ssRNA viruses","Picornaviridae",7.641,46.9,"vertebrates", Unknown:NC_014412.1/GU182408.1,1,1,2010/08/15,2010/09/21,Complete Genome
"Oscivirus A2",PRJNA51591,"ssRNA viruses","Picornaviridae",7.678,46.6,"vertebrates", Unknown:NC_014413.1/GU182410.1,1,1,2010/08/15,2010/09/21,Complete Genome
"Clostridium phage phiCTP1",PRJNA51665,"dsDNA viruses, no RNA stage","Siphoviridae",59.199,31.3,"bacteria", Unknown:NC_014457.1/HM159959.1,86,86,2010/08/15,2010/08/20,Complete Genome
"Mycobacterium phage Angelica",PRJNA51667,"dsDNA viruses, no RNA stage","Siphoviridae",59.598,66.4,"bacteria", Unknown:NC_014458.1/HM152764.1,95,94,2010/08/18,2011/08/11,Complete Genome
"Mycobacterium phage CrimD",PRJNA51669,"dsDNA viruses, no RNA stage","Siphoviridae",59.798,66.9,"bacteria", Unknown:NC_014459.1/HM152767.1,96,95,2010/08/18,2011/08/11,Complete Genome
"Staphylococcus phage Sap26",PRJNA51671,"dsDNA viruses, no RNA stage","Siphoviridae",41.207,34,"bacteria", Unknown:NC_014460.1/GU477322.1,63,63,2010/08/18,2010/08/25,Complete Genome
"Mycobacterium phage bron",PRJNA51673,"dsDNA viruses, no RNA stage","Siphoviridae",73.453,58.8,"bacteria", Unknown:NC_014461.1/HM152763.1,132,123,2010/08/18,2011/08/11,Complete Genome
"Magnaporthe oryzae chrysovirus 1",PRJNA51685,"dsRNA viruses","Chrysoviridae",12.921,60.9664,"fungi", segment 1:NC_014462.1/AB560761.1;  segment 2:NC_014465.1/AB560762.1;  segment 3:NC_014463.1/AB560763.1;  segment 4:NC_014464.1/AB560764.1,4,4,2010/08/21,2010/11/20,Complete Genome
"Enterobacteria phage RB16",PRJNA51699,"dsDNA viruses, no RNA stage","Myoviridae",176.788,43.5,"bacteria", Unknown:NC_014467.1/HM134276.1,272,270,2010/07/05,2010/11/15,Complete Genome
"Bat adeno-associated virus YNM",PRJNA51735,"ssDNA viruses","Parvoviridae",4.286,62.9,"vertebrates", Unknown:NC_014468.1/GU226971.1,2,2,2010/08/23,2010/09/20,Complete Genome
"Human papillomavirus type 127",PRJNA51741,"dsDNA viruses, no RNA stage","Papillomaviridae",7.181,37,"vertebrates", Unknown:NC_014469.1/HM011570.1,7,7,2010/08/24,2010/08/25,Complete Genome
"Bat coronavirus BM48-31/BGR/2008",PRJNA51751,"ssRNA viruses","Coronaviridae",29.276,40.4,"vertebrates", Unknown:NC_014470.1/GU190215.1,9,9,2010/08/25,2010/10/08,Complete Genome
"Croton yellow vein virus",PRJNA51789,"ssDNA viruses","Geminiviridae",2.744,42.2,"plants", Unknown:NC_014473.1/FN543112.1,6,6,2010/08/26,2011/06/01,Complete Genome
"Simian retrovirus 4",PRJNA51791,"Retro-transcribing viruses","Retroviridae",8.126,43.3,"vertebrates", Unknown:NC_014474.1/FJ971077.1,4,4,2010/08/23,2016/07/26,Complete Genome
"Torque teno virus 2",PRJNA51893,"ssDNA viruses","Anelloviridae",3.322,52.8,"vertebrates, human", Unknown:NC_014480.2/AB049608.1,2,2,2001/01/10,2015/02/10,Complete Genome
"Rhododendron virus A",PRJNA51905,"dsRNA viruses","Amalgaviridae",3.427,50.7,"plants", Unknown:NC_014481.1/HQ128706.1,2,2,2010/08/31,2010/11/15,Complete Genome
"Tobacco leaf curl virus",PRJNA319880,"ssDNA viruses","Geminiviridae",2.762,43.9,"plants", Unknown:NC_029994.1/KT992046.1,6,6,2016/04/20,2016/04/29,Complete Genome
"Velvet tobacco mottle virus",PRJNA52631,"ssRNA viruses","unclassified",4.247,47.8,"plants", Unknown:NC_014509.2/HM754263.2,5,5,2010/09/20,2015/02/10,Complete Genome
"Tomato leaf deformation virus",PRJNA52633,"ssDNA viruses","Geminiviridae",2.591,43.4,"plants", Unknown:NC_014510.2/GQ334472.2,5,5,2010/09/17,2011/03/23,Complete Genome
"Rotavirus D chicken/05V0049/DEU/2005",PRJNA52635,"dsRNA viruses","Reoviridae",18.5,33.1189,"vertebrates", 1:NC_014511.1/GU733443.1;  10:NC_014520.1/GU733452.1;  11:NC_014521.1/GU733453.1;  2:NC_014512.1/GU733444.1;  3:NC_014513.1/GU733445.1;  4:NC_014514.1/GU733446.1;  5:NC_014515.1/GU733447.1;  6:NC_014516.1/GU733448.1;  7:NC_014517.1/GU733449.1;  8:NC_014518.1/GU733450.1;  9:NC_014519.1/GU733451.1,12,12,2010/09/18,2010/09/21,Complete Genome
"Great Island virus",PRJNA52641,"dsRNA viruses","Reoviridae",17.858,57.7735,"vertebrates, invertebrates, human", segment 1:NC_014522.1/HM543465.1;  segment 10:NC_014531.1/HM543474.1;  segment 2:NC_014523.1/HM543466.1;  segment 3:NC_014524.1/HM543467.1;  segment 4:NC_014525.1/HM543468.1;  segment 5:NC_014526.1/HM543469.1;  segment 6:NC_014527.1/HM543470.1;  segment 7:NC_014528.1/HM543471.1;  segment 8:NC_014529.1/HM543472.1;  segment 9:NC_014530.1/HM543473.1,11,11,2010/09/13,2010/11/18,Complete Genome
"Brugmansia suaveolens mottle virus",PRJNA52813,"ssRNA viruses","Potyviridae",9.87,39.8,"plants", Unknown:NC_014536.1/AB551370.1,2,2,2010/09/22,2015/02/10,Complete Genome
"Tomato leaf curl Oman virus",PRJNA52947,"ssDNA viruses","Geminiviridae",2.763,42.7,"plants", Unknown:NC_014542.1/FJ956700.1,6,6,2010/09/24,2011/03/09,Complete Genome
"Cyanophage KBS-P-1A",PRJNA53283,"dsDNA viruses, no RNA stage","unclassified",45.73,47.4,"bacteria", Unknown:NC_020865.1/HQ634188.1,58,57,2013/03/25,2013/03/30,Complete Genome
"Cyanophage KBS-S-2A",PRJNA53287,"dsDNA viruses, no RNA stage","unclassified",40.658,49.1,"bacteria", Unknown:NC_020854.1/HQ634187.1,64,64,2013/03/25,2013/08/30,Complete Genome
"Cyanophage MED4-117",PRJNA53289,"dsDNA viruses, no RNA stage","unclassified",38.834,37.2,"bacteria", Unknown:NC_020857.1/JF974321.1,63,63,2013/03/19,2013/03/30,Complete Genome
"Prochlorococcus phage MED4-184",PRJNA53293,"dsDNA viruses, no RNA stage","Myoviridae",38.327,37.2,"bacteria", Unknown:NC_020847.1/JF974286.1,60,59,2013/03/23,2013/03/30,Complete Genome
"Prochlorococcus phage MED4-213",PRJNA53295,"dsDNA viruses, no RNA stage","Myoviridae",180.977,37.8,"bacteria", Unknown:NC_020845.1/HQ634174.1,218,216,2013/03/23,2013/03/30,Complete Genome
"Cyanophage P-RSM1",PRJNA53297,"dsDNA viruses, no RNA stage","Myoviridae",177.211,40.2,"bacteria", Unknown:NC_021071.1/HQ634175.1,215,212,2013/03/23,2013/04/19,Complete Genome
"Cyanophage P-RSM6",PRJNA53303,"dsDNA viruses, no RNA stage","Myoviridae",192.497,39.3,"bacteria", Unknown:NC_020855.1/HQ634193.1,224,221,2013/03/25,2013/03/30,Complete Genome
"Cyanophage Syn30",PRJNA53305,"dsDNA viruses, no RNA stage","unclassified",178.807,39.9,"bacteria", Unknown:NC_021072.1/HQ634189.1,216,209,2013/03/25,2013/04/19,Complete Genome
"Cotton leafroll dwarf virus",PRJNA53497,"ssRNA viruses","Luteoviridae",5.866,50.1,"plants", Unknown:NC_014545.1/GU167940.1,7,7,2010/10/01,2015/12/10,Complete Genome
"Frangipani mosaic virus",PRJNA53499,"ssRNA viruses","Virgaviridae",6.643,39.3,"plants", Unknown:NC_014546.1/HM026454.1,4,4,2010/10/03,2010/10/04,Complete Genome
"Digitaria didactyla striate mosaic virus",PRJNA53503,"ssDNA viruses","Geminiviridae",2.762,48.4,"plants", Unknown:NC_014547.1/HM122238.1,4,4,2010/10/03,2010/10/04,Complete Genome
"Vibrio phage eugene 12A10",PRJNA53547,"dsDNA viruses, no RNA stage","unclassified",138.234,38,"bacteria", Unknown:NC_029067.1/HQ634195.1,253,251,2013/06/11,2016/02/05,Complete Genome
"Turkey adenovirus 1",PRJNA53557,"dsDNA viruses, no RNA stage","Adenoviridae",45.413,66.9,"vertebrates", Unknown:NC_014564.2/GU936707.2,37,37,2010/09/06,2012/02/24,Complete Genome
"Saimiriine alphaherpesvirus 1",PRJNA54017,"dsDNA viruses, no RNA stage","Herpesviridae",156.742,67.1,"vertebrates", Unknown:NC_014567.1/HM625781.1,70,70,2010/10/09,2011/02/15,Complete Genome
"Blueberry latent virus",PRJNA56015,"dsRNA viruses","Amalgaviridae",3.431,47,"plants", Unknown:NC_014593.1/HM029246.1,2,2,2010/10/09,2010/10/15,Complete Genome
"Tomato leaf curl Bangladesh betasatellite",PRJNA56017,"Satellites","unclassified",1.371,40.3,"plants", Unknown:NC_014594.1/HQ180395.1,1,1,2010/10/12,2011/09/08,Complete Genome
"Shigella phage SP18",PRJNA56019,"dsDNA viruses, no RNA stage","Myoviridae",170.605,40.4,"bacteria", Unknown:NC_014595.1/GQ981382.1,289,284,2010/10/12,2010/10/15,Complete Genome
"Tobacco leaf curl Pusa virus",PRJNA56021,"ssDNA viruses","Geminiviridae",2.707,43.1,"plants", Unknown:NC_014596.1/HQ180391.1,6,6,2010/10/12,2011/10/26,Complete Genome
"Tobacco leaf curl PUSA alphasatellite",PRJNA56023,"Satellites","unclassified",1.379,41,"plants", Unknown:NC_014597.1/HQ180392.1,1,1,2010/10/12,2011/10/26,Complete Genome
"Raspberry latent virus",PRJNA56055,"dsRNA viruses","Reoviridae",26.128,42.5502,"plants", S1:NC_014598.1/HQ012653.1;  S10:NC_014607.1/HQ012662.1;  S2:NC_014599.1/HQ012654.1;  S3:NC_014600.1/HQ012655.1;  S4:NC_014601.1/HQ012656.1;  S5:NC_014602.1/HQ012657.1;  S6:NC_014603.1/HQ012658.1;  S7:NC_014604.1/HQ012659.1;  S8:NC_014605.1/HQ012660.1;  S9:NC_014606.1/HQ012661.1,12,12,2010/10/17,2015/10/29,Complete Genome
"Armigeres subalbatus virus SaX06-AK20",PRJNA56065,"dsRNA viruses","Totiviridae",7.51,46.4,"invertebrates", Unknown:NC_014609.1/EU715328.1,2,2,2009/12/31,2010/10/19,Complete Genome
"Euphorbia yellow mosaic virus associated DNA 1",PRJNA59505,"Satellites","unclassified",1.331,43.4,"plants", Unknown:NC_014630.1/FN436008.1,1,1,2010/06/09,2016/12/14,Complete Genome
"Spinach severe curly top virus",PRJNA59507,"ssDNA viruses","Geminiviridae",3.065,38.1,"plants", Unknown:NC_014631.1/GU734126.2,6,6,2010/09/07,2010/10/25,Complete Genome
"Aeromonas phage phiAS4",PRJNA59727,"dsDNA viruses, no RNA stage","Myoviridae",163.875,41.3,"bacteria", Unknown:NC_014635.1/HM452125.1,271,271,2010/09/08,2012/02/23,Complete Genome
"Aeromonas phage phiAS5",PRJNA59729,"dsDNA viruses, no RNA stage","Myoviridae",225.268,43,"bacteria", Unknown:NC_014636.1/HM452126.1,343,343,2010/09/08,2012/04/25,Complete Genome
"Cafeteria roenbergensis virus BV-PW1",PRJNA59783,"dsDNA viruses, no RNA stage","Mimiviridae",617.453,23.3,"protozoa", Unknown:NC_014637.1/GU244497.1,544,544,2010/10/26,2010/11/10,Complete Genome
"Ageratum leaf curl Cameroon virus",PRJNA60043,"ssDNA viruses","Geminiviridae",2.792,42.2,"plants", Unknown:NC_014645.1/FR717144.1,6,6,2010/11/02,2012/07/20,Complete Genome
"Cleome leaf crumple virus associated DNA 1",PRJNA60045,"Satellites","unclassified",1.351,46.7,"plants", Unknown:NC_014646.1/FN436007.1,1,1,2010/06/09,2011/02/05,Complete Genome
"Malvastrum yellow vein Changa Manga virus",PRJNA60047,"ssDNA viruses","Geminiviridae",2.754,43.5,"plants", Unknown:NC_014647.1/FR715681.1,6,6,2010/10/31,2010/11/10,Complete Genome
"Pineapple bacilliform comosus virus",PRJNA60049,"Retro-transcribing viruses","Caulimoviridae",7.543,47.9,"plants", Unknown:NC_014648.1/GU121676.1,3,3,2010/11/01,2010/11/10,Complete Genome
"Acanthamoeba polyphaga mimivirus",PRJNA60053,"dsDNA viruses, no RNA stage","Mimiviridae",1181.55,28,"protozoa", Unknown:NC_014649.1/HQ336222.2,1018,979,2010/10/12,2011/03/31,Complete Genome
"Acinetobacter phage Ac42",PRJNA60115,"dsDNA viruses, no RNA stage","Myoviridae",167.716,36.4,"bacteria", Unknown:NC_014660.1/HM032710.1,263,255,2010/11/10,2010/11/12,Complete Genome
"Acinetobacter phage Acj61",PRJNA60117,"dsDNA viruses, no RNA stage","Myoviridae",164.093,39,"bacteria", Unknown:NC_014661.1/GU911519.1,254,241,2010/11/10,2010/11/12,Complete Genome
"Enterobacter phage CC31",PRJNA60119,"dsDNA viruses, no RNA stage","Myoviridae",165.54,39.9,"bacteria", Unknown:NC_014662.1/GU323318.1,287,279,2010/11/10,2010/11/12,Complete Genome
"Acinetobacter phage Acj9",PRJNA60121,"dsDNA viruses, no RNA stage","Myoviridae",169.947,40,"bacteria", Unknown:NC_014663.1/HM004124.1,272,253,2010/11/10,2010/11/12,Complete Genome
"Porcine parvovirus 4",PRJNA60137,"ssDNA viruses","Parvoviridae",5.905,42.5,"vertebrates", Unknown:NC_014665.1/GQ387499.1,3,3,2010/01/12,2015/02/10,Complete Genome
"Papaya leaf crumple virus-Panipat 8 [India:Panipat:Papaya:2008]",PRJNA60361,"ssDNA viruses","Geminiviridae",2.736,44.1,"plants", Unknown:NC_014707.1/HM140367.1,7,7,2010/11/17,2012/07/03,Complete Genome
"Southern rice black-streaked dwarf virus",PRJNA60383,"dsRNA viruses","Reoviridae",29.124,34.4008,"invertebrates, plants", segment 1:NC_014714.1/FN563989.1;  segment 10:NC_014713.1/EU523360.1;  segment 2:NC_014715.1/FN563990.1;  segment 3:NC_014716.1/FN563991.1;  segment 4:NC_014717.1/FN563992.1;  segment 5:NC_014708.1/FN563993.1;  segment 6:NC_014709.1/FN563994.1;  segment 7:NC_014710.1/FN563995.1;  segment 8:NC_014711.1/FN563996.1;  segment 9:NC_014712.1/EU523359.1,13,13,2008/04/21,2015/10/20,Complete Genome
"Cowpea mild mottle virus",PRJNA60623,"ssRNA viruses","Betaflexiviridae",8.127,41.1,"plants", Unknown:NC_014730.1/HQ184471.1,6,6,2010/11/23,2010/12/01,Complete Genome
"Chickpea redleaf virus",PRJNA60625,"ssDNA viruses","Geminiviridae",2.605,43.2,"plants", Unknown:NC_014739.1/GU256532.1,4,4,2010/11/22,2010/12/01,Complete Genome
"Chickpea chlorosis virus-A",PRJNA60627,"ssDNA viruses","Geminiviridae",2.582,43.5,"plants", Unknown:NC_014740.1/GU256530.1,4,4,2010/11/22,2010/12/01,Complete Genome
"Tomato leaf curl Togo betasatellite-[Togo:2006]",PRJNA60629,"Satellites","unclassified",1.388,37.8,"plants", Unknown:NC_014741.1/HQ586965.1,1,1,2010/11/29,2012/02/24,Complete Genome
"Sweet potato virus C",PRJNA60649,"ssRNA viruses","Potyviridae",10.82,42.9,"plants", Unknown:NC_014742.1/GU207957.1,2,2,2010/11/28,2015/02/10,Complete Genome
"Chimpanzee polyomavirus",PRJNA60731,"dsDNA viruses, no RNA stage","Polyomaviridae",5.086,38.2,"vertebrates", Unknown:NC_014743.1/FR692334.1,5,5,2010/12/01,2010/12/03,Complete Genome
"Ageratum leaf curl Cameroon alphasatellite",PRJNA60733,"Satellites","unclassified",1.383,37.2,"plants", Unknown:NC_014744.1/FR717143.1,3,3,2010/12/01,2012/07/20,Complete Genome
"Okra leaf curl Cameroon virus",PRJNA60747,"ssDNA viruses","Geminiviridae",2.764,43.5,"plants", Unknown:NC_014745.1/FR717137.1,6,6,2010/12/01,2010/12/03,Complete Genome
"Ageratum leaf curl Buea betasatellite",PRJNA60749,"Satellites","unclassified",1.259,36.6,"plants", Unknown:NC_014746.1/FR717140.1,1,1,2010/12/01,2012/07/20,Complete Genome
"Tomato leaf curl Cameroon alphasatellite",PRJNA60751,"Satellites","unclassified",1.392,40.2,"plants", Unknown:NC_014747.1/FR717142.1,1,1,2010/12/01,2012/07/20,Complete Genome
"Chaetoceros tenuissimus DNA virus",PRJNA60753,"unassigned viruses","unclassified",5.639,45.1,"algae", Unknown:NC_014748.1/AB597949.1,3,3,2010/12/02,2014/01/09,Complete Genome
"Bathycoccus sp. RCC1105 virus BpV1",PRJNA61009,"dsDNA viruses, no RNA stage","Phycodnaviridae",198.519,37.2,"algae", Unknown:NC_014765.1/HM004432.1,203,203,2010/11/29,2010/12/09,Complete Genome
"Ostreococcus lucimarinus virus 1",PRJNA61011,"dsDNA viruses, no RNA stage","Phycodnaviridae",194.022,40.9,"algae", Unknown:NC_014766.1/HM004431.1,255,250,2010/11/29,2010/12/11,Complete Genome
"Micromonas sp. RCC1109 virus MpV1",PRJNA61013,"dsDNA viruses, no RNA stage","Phycodnaviridae",184.095,40.9,"algae", Unknown:NC_014767.1/HM004429.1,244,244,2010/11/29,2010/12/09,Complete Genome
"Ostreococcus tauri virus 2",PRJNA61087,"dsDNA viruses, no RNA stage","Phycodnaviridae",184.409,41.6,"algae", Unknown:NC_014789.1/FN600414.1,237,237,2010/12/05,2016/07/26,Complete Genome
"Passion fruit woodiness virus",PRJNA61089,"ssRNA viruses","Potyviridae",9.682,41.5,"plants", Unknown:NC_014790.2/HQ122652.2,1,1,2010/12/04,2013/02/05,Complete Genome
